PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damion Lee,7:02,1,3,.333,1,2,.500,3,3,1.000,0,1,1,0,0,0,1,1,6,+1
Glenn Robinson,7:29,3,4,.750,2,2,1.000,0,0,0.0,0,1,1,0,0,0,0,1,8,+4
Ky Bowman,4:27,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,2,0,0,0,2,+2
Willie Cauley-Stein,4:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
Alec Burks,8:00,2,4,.500,0,1,.000,0,0,0.0,1,1,2,3,0,0,0,2,4,+1
Jacob Evans,4:31,1,3,.333,0,2,.000,0,0,0.0,0,1,1,0,0,0,0,0,2,-4
Omari Spellman,8:00,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,+1
Jordan Poole,4:31,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Eric Paschall,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Alen SmailagiÄ‡,4:31,1,3,.333,0,1,.000,0,0,0.0,0,2,2,0,0,0,1,0,2,-4
Team Totals,240,33,87,.379,15,38,.395,17,20,.850,12,40,52,29,7,4,18,30,98,0
Khris Middleton,7:29,1,2,.500,0,1,.000,0,0,0.0,0,2,2,1,0,0,1,1,2,-4
Giannis Antetokounmpo,8:59,4,7,.571,0,2,.000,7,9,.778,0,5,5,1,0,0,0,1,15,+3
Eric Bledsoe,9:30,1,4,.250,0,1,.000,2,2,1.000,0,0,0,1,1,0,0,0,4,-4
Brook Lopez,5:25,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4
Wesley Matthews,7:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Pat Connaughton,8:59,1,2,.500,0,1,.000,0,0,0.0,2,2,4,0,0,0,0,1,2,-1
Donte DiVincenzo,5:31,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,1,0,+5
Kyle Korver,4:31,1,2,.500,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,0,3,+4
Ersan Ä°lyasova,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Robin Lopez,2:34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,35,87,.402,9,41,.220,28,32,.875,5,42,47,22,11,3,9,19,107,0
Andre Drummond,12:00,1,3,.333,0,0,0.0,0,0,0.0,1,5,6,0,0,1,1,1,2,-2
Bruce Brown,12:00,2,4,.500,1,1,1.000,1,2,.500,0,0,0,1,1,0,0,1,6,-2
Tony Snell,8:46,1,3,.333,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,1,2,-5
Sviatoslav Mykhailiuk,0:24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Sekou Doumbouya,6:56,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,1,0,1,1,0,3,+6
Derrick Rose,10:48,3,7,.429,0,0,0.0,0,0,0.0,1,2,3,2,0,0,3,1,6,-1
Thon Maker,6:10,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,1,0,-3
Langston Galloway,1:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Christian Wood,1:37,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,0,-2
Team Totals,265,48,98,.490,6,20,.300,10,16,.625,19,27,46,20,8,9,15,25,112,0
Tristan Thompson,12:00,4,6,.667,0,1,.000,2,2,1.000,3,1,4,1,1,1,1,2,10,+2
Darius Garland,9:39,0,2,.000,0,1,.000,0,0,0.0,0,1,1,3,0,0,0,0,0,+2
Cedi Osman,9:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+3
Collin Sexton,9:02,2,5,.400,0,0,0.0,0,0,0.0,1,2,3,0,2,1,0,0,4,+3
Kevin Love,6:10,0,3,.000,0,3,.000,1,2,.500,0,1,1,0,0,0,1,0,1,+3
Brandon Knight,5:19,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-1
Matthew Dellavedova,5:19,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,2,-1
Alfonzo McKinnie,3:29,1,3,.333,0,2,.000,0,0,0.0,0,0,0,0,2,0,1,1,2,-1
Ante Å½iÅ¾iÄ‡,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,265,48,91,.527,5,20,.250,14,20,.700,10,29,39,24,9,5,14,18,115,0
Ben Simmons,6:28,2,4,.500,0,0,0.0,1,2,.500,1,1,2,0,0,0,0,0,5,+7
Tobias Harris,6:28,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,+7
Josh Richardson,12:00,5,8,.625,0,1,.000,4,4,1.000,0,2,2,1,0,0,1,0,14,+14
Al Horford,9:05,2,4,.500,0,0,0.0,1,1,1.000,2,1,3,1,0,1,1,1,5,+10
Mike Scott,5:32,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,+7
Matisse Thybulle,5:16,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,+9
James Ennis,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Furkan Korkmaz,6:44,2,2,1.000,2,2,1.000,0,0,0.0,0,3,3,0,0,0,0,1,6,+5
Norvel Pelle,2:55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,+4
Trey Burke,5:32,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,0,+7
Team Totals,240,43,88,.489,11,27,.407,12,17,.706,13,35,48,24,6,5,12,11,109,0
Gordon Hayward,12:00,1,3,.333,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-14
Jayson Tatum,6:28,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-7
Jaylen Brown,10:09,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-13
Kemba Walker,7:33,1,5,.200,0,3,.000,1,1,1.000,0,1,1,0,0,0,1,1,3,-10
Daniel Theis,5:15,1,2,.500,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,2,-3
Marcus Smart,7:31,2,4,.500,1,2,.500,0,0,0.0,0,1,1,0,1,0,0,2,5,-9
Semi Ojeleye,5:32,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,-7
Enes Kanter,2:55,1,3,.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-4
Grant Williams,2:37,1,1,1.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-3
Team Totals,240,38,88,.432,14,36,.389,8,8,1.000,8,30,38,17,8,1,14,16,98,0
Jarrett Culver,9:15,2,5,.400,0,1,.000,0,0,0.0,0,3,3,0,0,1,4,0,4,-11
Andrew Wiggins,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Robert Covington,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Shabazz Napier,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Gorgui Dieng,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Josh Okogie,8:07,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,3,0,-8
Jeff Teague,8:58,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,-7
Keita Bates-Diop,12:00,2,5,.400,0,2,.000,0,0,0.0,1,3,4,0,0,1,1,4,4,-12
Naz Reid,10:09,0,2,.000,0,1,.000,0,0,0.0,0,4,4,0,0,1,0,3,0,-13
Treveon Graham,6:38,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,1,0,0,0,1,3,-5
Noah Vonleh,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jordan Bell,4:53,1,2,.500,1,1,1.000,0,0,0.0,2,1,3,0,0,0,1,0,3,-4
Team Totals,240,44,89,.494,13,32,.406,15,21,.714,15,41,56,25,7,9,14,28,116,0
Damian Lillard,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kent Bazemore,12:00,0,5,.000,0,2,.000,1,2,.500,0,2,2,0,1,0,1,1,1,+12
Hassan Whiteside,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
CJ McCollum,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Carmelo Anthony,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Gary Trent,12:00,3,4,.750,2,3,.667,2,2,1.000,1,1,2,1,3,0,0,1,10,+12
Anthony Tolliver,12:00,0,3,.000,0,2,.000,1,2,.500,3,0,3,2,0,1,0,1,1,+12
Anfernee Simons,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jaylen Hoard,12:00,3,7,.429,0,1,.000,2,3,.667,1,2,3,0,1,0,0,0,8,+12
Nassir Little,12:00,3,6,.500,1,3,.333,1,4,.250,0,1,1,1,0,1,0,0,8,+12
Mario Hezonja,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,35,96,.365,11,37,.297,21,31,.677,14,27,41,14,9,6,10,21,102,0
Shai Gilgeous-Alexander,3:11,1,1,1.000,0,0,0.0,1,1,1.000,0,1,1,2,0,0,0,1,3,+4
Danilo Gallinari,1:36,0,1,.000,0,1,.000,0,0,0.0,0,2,2,0,0,0,0,0,0,-1
Chris Paul,4:42,3,3,1.000,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,6,+4
Steven Adams,2:09,1,1,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,+4
Terrance Ferguson,1:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+5
Dennis SchrÃ¶der,6:04,1,3,.333,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,2,+3
Hamidou Diallo,12:00,2,6,.333,0,1,.000,0,0,0.0,1,2,3,0,0,0,1,1,4,-1
Mike Muscala,7:17,1,1,1.000,0,0,0.0,1,1,1.000,0,2,2,0,0,0,0,0,3,-2
Darius Bazley,8:49,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,1,0,1,0,0,-5
Abdel Nader,5:42,0,4,.000,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,-4
Deonte Burton,4:07,2,3,.667,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,4,-9
Justin Patton,2:34,0,1,.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3
Team Totals,240,43,87,.494,11,32,.344,16,20,.800,9,43,52,22,8,2,13,13,113,0
Russell Westbrook,4:42,1,2,.500,0,0,0.0,2,2,1.000,0,0,0,2,0,0,3,2,4,-4
P.J. Tucker,4:42,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-4
Clint Capela,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Danuel House,6:04,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
James Harden,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,7:18,0,2,.000,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,+5
Ben McLemore,4:42,1,1,1.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4
Isaiah Hartenstein,12:00,1,5,.200,0,2,.000,0,0,0.0,0,4,4,2,1,0,0,1,2,+1
Chris Clemons,7:18,5,9,.556,3,6,.500,1,1,1.000,0,2,2,0,0,1,1,1,14,+5
Thabo Sefolosha,7:18,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,+5
Michael Frazier,5:56,1,2,.500,1,2,.500,0,0,0.0,0,0,0,0,0,0,0,1,3,+4
Team Totals,240,34,89,.382,11,40,.275,13,14,.929,8,31,39,16,4,3,14,21,92,0
Jordan McRae,10:18,5,8,.625,2,2,1.000,0,0,0.0,0,2,2,1,1,0,0,0,12,+13
Ian Mahinmi,4:50,2,2,1.000,0,0,0.0,1,2,.500,2,0,2,1,0,0,1,1,5,+11
Isaiah Thomas,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Gary Payton,0:25,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
Isaac Bonga,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Troy Brown,12:00,1,2,.500,0,0,0.0,0,0,0.0,0,5,5,1,1,0,0,0,2,+8
Ish Smith,12:00,3,8,.375,0,4,.000,2,4,.500,0,1,1,2,0,0,0,0,8,+8
DÄvis BertÄns,9:01,1,3,.333,1,2,.500,0,0,0.0,0,2,2,0,0,0,0,0,3,+10
AnÅ¾ejs PaseÄÅ†iks,6:45,0,1,.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-3
Admiral Schofield,4:41,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,-7
Team Totals,240,42,112,.375,10,29,.345,17,28,.607,19,38,57,26,11,1,9,22,111,0
Cam Reddish,10:53,1,3,.333,0,0,0.0,0,1,.000,1,2,3,1,0,0,1,0,2,-8
Trae Young,7:19,2,6,.333,0,3,.000,0,0,0.0,0,0,0,1,0,0,0,0,4,-15
De'Andre Hunter,7:19,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-15
John Collins,7:59,1,3,.333,0,1,.000,0,0,0.0,1,1,2,0,0,1,1,2,2,0
Kevin Huerter,2:22,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,2,0,-7
Alex Len,8:42,0,1,.000,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,0,0,-1
Brandon Goodwin,10:20,5,8,.625,2,4,.500,0,0,0.0,0,0,0,1,0,0,0,2,12,-1
DeAndre' Bembry,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Allen Crabbe,5:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,+7
Vince Carter,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,89,.461,7,29,.241,12,24,.500,9,47,56,19,5,9,18,26,101,0
Elfrid Payton,9:22,3,6,.500,0,2,.000,1,1,1.000,0,1,1,0,1,0,0,0,7,+1
RJ Barrett,6:26,3,6,.500,1,2,.500,3,4,.750,1,2,3,1,1,0,0,0,10,+2
Bobby Portis,4:28,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Reggie Bullock,2:56,0,0,0.0,0,0,0.0,1,2,.500,0,0,0,0,0,0,0,1,1,-1
Taj Gibson,4:28,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-2
Mitchell Robinson,7:32,0,1,.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-1
Damyean Dotson,6:05,1,3,.333,0,1,.000,0,0,0.0,0,2,2,1,0,0,0,0,2,-8
Kevin Knox,4:58,0,2,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,-3
Frank Ntilikina,2:38,0,1,.000,0,0,0.0,3,3,1.000,1,1,2,0,0,0,0,0,3,-4
Wayne Ellington,2:38,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-4
Allonzo Trier,5:55,0,2,.000,0,2,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+5
Kadeem Allen,2:34,1,2,.500,0,1,.000,0,0,0.0,0,0,0,1,0,0,0,0,2,+2
Team Totals,240,46,100,.460,5,27,.185,14,20,.700,14,32,46,26,13,1,13,16,111,0
Brandon Ingram,12:00,3,5,.600,2,3,.667,1,2,.500,0,2,2,4,0,0,1,1,9,+3
Lonzo Ball,12:00,1,3,.333,0,1,.000,0,0,0.0,0,1,1,3,0,0,0,1,2,+3
Josh Hart,12:00,4,5,.800,2,3,.667,0,0,0.0,0,5,5,0,0,0,0,2,10,+3
J.J. Redick,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Derrick Favors,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jaxson Hayes,10:15,1,2,.500,0,0,0.0,3,4,.750,1,2,3,0,0,0,0,1,5,+7
Nickeil Alexander-Walker,8:27,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,1,0,0
E'Twaun Moore,3:33,1,2,.500,0,1,.000,0,0,0.0,0,1,1,0,0,1,1,0,2,+3
NicolÃ² Melli,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jahlil Okafor,1:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-4
Team Totals,240,48,86,.558,18,38,.474,9,17,.529,6,37,43,35,8,6,19,16,123,0
Spencer Dinwiddie,8:55,1,4,.250,1,3,.333,3,4,.750,0,0,0,3,0,0,0,0,6,+11
Joe Harris,10:46,0,1,.000,0,1,.000,4,6,.667,2,3,5,2,0,0,0,1,4,+6
Taurean Waller-Prince,6:33,2,4,.500,0,2,.000,0,0,0.0,0,0,0,1,0,1,0,0,4,+9
Jarrett Allen,5:43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,+11
Rodions Kurucs,5:27,2,2,1.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,-5
Caris LeVert,8:48,2,7,.286,2,4,.500,0,0,0.0,1,1,2,1,0,0,0,0,6,+4
TimothÃ© Luwawu-Cabarrot,7:31,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,-9
DeAndre Jordan,6:17,1,2,.500,0,0,0.0,2,2,1.000,0,2,2,0,0,0,0,0,4,-7
DÅ¾anan Musa,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,45,93,.484,15,44,.341,12,19,.632,14,37,51,31,5,4,9,15,117,0
Jimmy Butler,6:33,4,5,.800,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,1,8,-9
Bam Adebayo,6:33,1,2,.500,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-9
Meyers Leonard,5:27,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,+5
Duncan Robinson,6:23,0,1,.000,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-7
Kendrick Nunn,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Tyler Herro,8:48,0,1,.000,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,+2
Goran DragiÄ‡,12:00,2,5,.400,1,3,.333,1,2,.500,0,0,0,1,0,0,2,1,6,-4
Derrick Jones,8:39,1,4,.250,0,3,.000,0,0,0.0,0,2,2,0,0,0,0,3,2,-1
James Johnson,5:37,2,2,1.000,2,2,1.000,0,0,0.0,0,1,1,1,0,0,0,0,6,+3
Team Totals,240,44,85,.518,7,29,.241,18,21,.857,4,36,40,26,6,3,7,20,113,0
Zach LaVine,12:00,4,7,.571,2,5,.400,5,5,1.000,0,2,2,1,0,0,0,0,15,-4
TomÃ¡Å¡ SatoranskÃ½,9:48,4,5,.800,1,2,.500,0,0,0.0,0,1,1,0,0,1,0,1,9,-2
Lauri Markkanen,9:48,2,3,.667,1,2,.500,0,0,0.0,1,0,1,1,0,0,2,0,5,-2
Kris Dunn,6:33,0,1,.000,0,1,.000,0,0,0.0,1,1,2,1,0,0,0,0,0,-2
Daniel Gafford,5:34,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,+1
Coby White,7:39,1,3,.333,0,1,.000,0,0,0.0,0,1,1,0,0,0,0,1,2,-4
Thaddeus Young,8:38,1,3,.333,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,2,-7
Chandler Hutchison,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Luke Kornet,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,37,80,.463,18,41,.439,13,16,.813,6,30,36,16,6,3,15,15,105,0
Myles Turner,7:53,1,3,.333,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,2,2,-1
T.J. Warren,6:02,1,2,.500,0,0,0.0,0,0,0.0,2,1,3,0,1,0,1,1,2,-3
T.J. McConnell,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
JaKarr Sampson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Jeremy Lamb,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Aaron Holiday,12:00,5,5,1.000,1,1,1.000,0,0,0.0,0,1,1,4,0,0,0,0,11,+4
Justin Holiday,12:00,3,6,.500,3,5,.600,0,0,0.0,0,1,1,3,0,0,0,2,9,+4
Edmond Sumner,9:35,3,3,1.000,2,2,1.000,0,0,0.0,0,0,0,2,1,0,0,0,8,+1
Doug McDermott,8:23,2,2,1.000,1,1,1.000,0,0,0.0,0,2,2,1,0,1,0,0,5,+10
Goga Bitadze,4:07,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,+5
Team Totals,240,48,84,.571,11,30,.367,9,14,.643,8,38,46,31,9,5,11,16,116,0
Ja Morant,12:00,6,8,.750,0,0,0.0,0,0,0.0,0,2,2,3,0,0,2,0,12,+11
Dillon Brooks,9:11,3,5,.600,2,3,.667,1,2,.500,0,1,1,1,0,0,0,1,9,+7
Jonas ValanÄiÅ«nas,8:15,3,3,1.000,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,2,6,+8
Jaren Jackson,1:37,2,2,1.000,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,1,5,+5
Jae Crowder,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Brandon Clarke,9:11,0,0,0.0,0,0,0.0,2,2,1.000,0,1,1,0,0,0,0,0,2,+7
Grayson Allen,12:00,0,2,.000,0,2,.000,0,0,0.0,1,1,2,0,1,0,1,0,0,+11
De'Anthony Melton,2:49,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,0,+4
Tyus Jones,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Solomon Hill,4:57,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,+2
Team Totals,240,52,100,.520,16,38,.421,14,16,.875,11,38,49,39,5,6,8,20,134,0
DeMar DeRozan,8:38,2,5,.400,0,0,0.0,1,2,.500,1,2,3,2,1,0,1,2,5,-5
LaMarcus Aldridge,5:37,1,3,.333,1,3,.333,0,0,0.0,1,0,1,0,0,0,1,1,3,-10
Bryn Forbes,10:47,3,4,.750,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,1,10,-5
Dejounte Murray,7:59,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,1,0,0,-7
Trey Lyles,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Rudy Gay,5:53,0,3,.000,0,2,.000,0,0,0.0,0,0,0,1,0,0,0,0,0,-10
Patty Mills,4:55,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-11
Derrick White,2:05,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,+1
Lonnie Walker,7:43,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,0,1,0,1,0,3,-7
Jakob PÃ¶ltl,4:37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-1
Marco Belinelli,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Drew Eubanks,1:46,0,0,0.0,0,0,0.0,2,2,1.000,0,0,0,0,0,0,0,0,2,0
Team Totals,240,42,87,.483,17,40,.425,20,23,.870,5,32,37,29,3,6,11,17,121,0
Devin Booker,9:49,2,4,.500,2,3,.667,0,0,0.0,0,1,1,0,1,0,2,1,6,+8
Ricky Rubio,9:57,0,4,.000,0,0,0.0,1,2,.500,1,1,2,3,2,0,1,1,1,+5
Kelly Oubre,10:18,2,3,.667,0,1,.000,3,4,.750,0,5,5,0,0,0,0,1,7,+8
Dario Å ariÄ‡,2:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3
Aron Baynes,5:17,0,2,.000,0,1,.000,2,2,1.000,2,0,2,0,0,0,1,0,2,+3
Deandre Ayton,6:43,2,3,.667,0,0,0.0,1,1,1.000,0,1,1,0,0,0,0,0,5,-1
Mikal Bridges,9:39,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,1,1,1,0,+5
Elie Okobo,2:03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-3
Tyler Johnson,2:11,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Cameron Johnson,1:42,0,1,.000,0,1,.000,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Team Totals,240,33,79,.418,9,28,.321,23,26,.885,9,35,44,19,10,8,14,21,98,0
Evan Fournier,12:00,2,7,.286,1,5,.200,1,2,.500,0,0,0,0,2,0,2,0,6,-2
Nikola VuÄeviÄ‡,8:21,2,6,.333,2,2,1.000,0,0,0.0,2,0,2,0,0,0,1,2,6,-4
Markelle Fultz,6:22,0,1,.000,0,0,0.0,1,2,.500,1,2,3,2,0,0,2,1,1,-3
Khem Birch,7:08,0,0,0.0,0,0,0.0,1,2,.500,0,3,3,0,0,0,0,0,1,+2
Wesley Iwundu,4:33,0,1,.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1
Terrence Ross,9:19,0,2,.000,0,2,.000,0,0,0.0,0,2,2,0,2,0,1,0,0,-5
Josh Magette,5:38,1,2,.500,1,2,.500,0,0,0.0,0,1,1,0,0,1,0,0,3,+1
Amile Jefferson,3:00,0,0,0.0,0,0,0.0,2,2,1.000,1,1,2,0,0,0,0,1,2,0
Mo Bamba,3:39,0,1,.000,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,+2
Team Totals,240,33,89,.371,9,33,.273,19,24,.792,14,35,49,15,9,6,14,23,94,0
Rudy Gobert,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
