PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Austin Rivers,10:24,1,7,.143,0,3,.000,1,3,.333,0,2,2,0,0,1,1,3,3,-1
Eric Gordon,12:00,4,4,1.000,1,1,1.000,8,9,.889,0,1,1,3,0,1,1,0,17,-3
P.J. Tucker,12:00,1,2,.500,0,1,.000,4,4,1.000,2,2,4,2,0,0,2,2,6,-3
Ben McLemore,0:50,1,1,1.000,1,1,1.000,0,0,0.0,0,0,0,0,0,0,0,2,3,+2
Thabo Sefolosha,7:51,0,0,0.0,0,0,0.0,0,2,.000,0,1,1,0,0,0,1,0,0,-8
Michael Frazier,4:55,1,3,.333,1,2,.500,0,0,0.0,0,0,0,0,0,0,0,2,3,+1
Chris Clemons,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Isaiah Hartenstein,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,38,81,.469,15,40,.375,35,49,.714,6,34,40,14,11,4,15,25,126,0
Devonte' Graham,8:43,0,1,.000,0,1,.000,1,2,.500,0,0,0,2,0,0,1,0,1,-3
Terry Rozier,8:12,1,4,.250,1,2,.500,8,8,1.000,0,5,5,0,0,0,0,0,11,+2
PJ Washington,9:52,1,4,.250,0,2,.000,0,0,0.0,1,1,2,2,0,1,1,0,2,+2
Cody Zeller,8:43,2,3,.667,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,4,-1
Miles Bridges,5:45,1,2,.500,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0
Malik Monk,5:46,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,2,2,+7
Willy HernangÃ³mez,2:46,2,3,.667,1,2,.500,0,1,.000,0,0,0,0,0,0,1,0,5,+3
Cody Martin,7:44,1,1,1.000,0,0,0.0,0,0,0.0,0,3,3,1,1,0,0,1,2,+3
Marvin Williams,2:29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,+2
Dwayne Bacon,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Team Totals,240,34,88,.386,8,32,.250,21,27,.778,16,35,51,22,5,4,13,14,97,0
